,count,mean,std,min,25%,50%,75%,max
Time,187260.0,467346.66306539037,235163.85773210647,18863.0,286540.75,498017.5,667273.25,821442.0
Pos_X,187260.0,0.002124404942503199,0.02291988373995713,-0.0499461,-0.016952375,0.004197475,0.0215084,0.0424719
Pos_Y,187260.0,-0.009364416349977806,0.030387096641163597,-0.0571815,-0.0336497,-0.01431775,0.013001325,0.0571723
Pos_Z,187260.0,0.006636820111977442,0.022463439009042695,-0.0563901,-0.008117329999999999,0.005251675,0.0189128,0.0763612
Vel_X,187260.0,-0.09762224592857598,0.06767755581967985,-0.384102,-0.14540025,-0.09238255000000001,-0.039676325,-6.87815e-07
Vel_Y,187260.0,-0.0006853407519024719,0.060950054270078435,-0.269065,-0.033313525,-0.0025930700000000003,0.030670225000000002,0.233834
Vel_Z,187260.0,-0.012312383339895394,0.0609512548715814,-0.2954,-0.042800775,-0.006826850000000001,0.0200859,0.236956
C_Force,187260.0,10.380887536046139,5.964314008955369,0.0,5.0,12.0,15.0,18.0
Angle_X,187260.0,0.4881163550347592,0.40066034245240295,-0.449246,0.186952,0.546711,0.806358,1.33405
Angle_Y,187260.0,0.5353548987027663,0.47553515210842057,-0.42987,0.149491,0.580297,0.934889,1.48066
Angle_Z,187260.0,0.6592319946601143,0.36386801403113905,-0.421473,0.390407,0.688806,0.938118,1.37926
F_Force_X,187260.0,10.378920503347077,5.964062213774384,-0.0119658,5.00127,11.9938,15.0317,18.0546
F_Force_Y,187260.0,1.0881575866431683e-05,0.004998580325142868,-0.0277163,-0.00238244,-8.22505e-05,0.0021290125,0.0295438
F_Force_Z,187260.0,0.0011216551511921773,0.006080329715409763,-0.0431491,-0.0016344699999999998,0.000893375,0.00409917,0.0316123
A_Force_X,187260.0,-0.23788889691436188,0.8753891488501714,-5.22163,-0.705282,-0.21720050000000002,0.203969,3.32098
A_Force_Y,187260.0,1.141993412321699,1.199242457913906,-2.86796,0.3950555,1.015025,1.7502225,5.66735
A_Force_Z,187260.0,-7.509652942625911,3.532220871858869,-17.0924,-9.912295,-8.17819,-5.1384625,7.48635
A_Force_X_Filt,187260.0,-0.2395743888968545,0.8519073304033778,-4.887165643564379,-0.6858278985148745,-0.21613683799013655,0.18333726905936376,3.1599718811881243
A_Force_Y_Filt,187260.0,1.138729114193609,1.180786952093487,-2.5519810891087933,0.4021281131188452,1.0095591386138716,1.7279412004950574,5.554824653465337
A_Force_Z_Filt,187260.0,-7.484343113126827,3.5097990489373587,-16.786107425743047,-9.89817000000052,-8.156187549505294,-5.129019950495135,7.476482722772271
A_Force_X_Left,187260.0,0.0016854919824927117,0.11948758465780535,-1.6425331405940031,-0.056520851237584324,0.00010734653468996713,0.06000440408171533,1.8983115663366874
A_Force_Y_Left,187260.0,0.0032642981280897117,0.10997010417050844,-0.896122089108947,-0.052217751732703585,0.0013508415840833288,0.05801928960391038,1.4496955207920752
A_Force_Z_Left,187260.0,-0.025309829499083378,0.22759329532274739,-2.681117326732233,-0.13088855197991478,-0.011694059405767288,0.09530168316839316,2.4473573267329414
